datetime,Unnamed: 0,weekday,month,nb_logs,nb_perturbations,line:IDFM:C01727,line:IDFM:C01728,line:IDFM:C01729,line:IDFM:C01742,line:IDFM:C01743,time_idx,temperature,humidity,wind,nb_covid_cases,nb_events
2021-08-01 00:00:00+00:00,95240,Sun,Aug,1057,0,1,1,1,1,1,0,18.9,63,2.3,3290,127
2021-08-01 01:00:00+00:00,95245,Sun,Aug,1504,0,1,1,1,1,1,1,18.9,63,2.3,3290,127
2021-08-01 02:00:00+00:00,95250,Sun,Aug,1044,0,1,1,1,1,1,2,18.9,63,2.3,3290,127
2021-08-01 03:00:00+00:00,95255,Sun,Aug,1638,0,1,1,1,1,1,3,18.9,63,2.3,3290,127
2021-08-01 04:00:00+00:00,95260,Sun,Aug,3069,3,1,1,1,1,1,4,18.9,63,2.3,3290,127
2021-08-01 05:00:00+00:00,95265,Sun,Aug,3774,3,1,1,1,1,1,5,18.9,63,2.3,3290,127
2021-08-01 06:00:00+00:00,95270,Sun,Aug,5440,3,1,1,1,1,1,6,18.9,63,2.3,3290,127
2021-08-01 07:00:00+00:00,95275,Sun,Aug,7072,3,1,1,1,1,1,7,18.9,63,2.3,3290,127
2021-08-01 08:00:00+00:00,95280,Sun,Aug,9178,1,1,1,1,1,1,8,18.9,63,2.3,3290,127
2021-08-01 09:00:00+00:00,95285,Sun,Aug,10496,1,1,1,1,1,1,9,18.9,63,2.3,3290,127
2021-08-01 10:00:00+00:00,95290,Sun,Aug,11007,3,1,1,1,1,1,10,18.9,63,2.3,3290,127
2021-08-01 11:00:00+00:00,95295,Sun,Aug,11823,3,1,1,1,1,1,11,18.9,63,2.3,3290,127
2021-08-01 12:00:00+00:00,95300,Sun,Aug,11889,11,1,1,1,1,1,12,18.9,63,2.3,3290,127
2021-08-01 13:00:00+00:00,95305,Sun,Aug,12508,9,1,1,1,1,1,13,18.9,63,2.3,3290,127
2021-08-01 14:00:00+00:00,95310,Sun,Aug,13126,9,1,1,1,1,1,14,18.9,63,2.3,3290,127
2021-08-01 15:00:00+00:00,95315,Sun,Aug,12579,11,1,1,1,1,1,15,18.9,63,2.3,3290,127
2021-08-01 16:00:00+00:00,95320,Sun,Aug,13259,16,1,1,1,1,1,16,18.9,63,2.3,3290,127
2021-08-01 17:00:00+00:00,95325,Sun,Aug,13007,16,1,1,1,1,1,17,18.9,63,2.3,3290,127
2021-08-01 18:00:00+00:00,95330,Sun,Aug,12143,12,1,1,1,1,1,18,18.9,63,2.3,3290,127
2021-08-01 19:00:00+00:00,95335,Sun,Aug,13710,12,1,1,1,1,1,19,18.9,63,2.3,3290,127
2021-08-01 20:00:00+00:00,95340,Sun,Aug,12318,10,1,1,1,1,1,20,18.9,63,2.3,3290,127
2021-08-01 21:00:00+00:00,95345,Sun,Aug,11627,4,1,1,1,1,1,21,18.9,63,2.3,3290,127
2021-08-01 22:00:00+00:00,95350,Sun,Aug,9240,4,1,1,1,1,1,22,18.9,63,2.3,3290,127
2021-08-01 23:00:00+00:00,95355,Sun,Aug,4243,0,1,1,1,1,1,23,18.9,63,2.3,3290,127
2021-08-02 00:00:00+00:00,189255,Mon,Aug,2406,0,2,2,2,2,2,24,20.5,70,1.4,3350,123
2021-08-02 01:00:00+00:00,94635,Mon,Aug,1200,0,1,1,1,1,1,25,20.5,70,1.4,3350,123
2021-08-02 02:00:00+00:00,94640,Mon,Aug,837,0,1,1,1,1,1,26,20.5,70,1.4,3350,123
2021-08-02 03:00:00+00:00,94645,Mon,Aug,2468,3,1,1,1,1,1,27,20.5,70,1.4,3350,123
2021-08-02 04:00:00+00:00,94650,Mon,Aug,5400,4,1,1,1,1,1,28,20.5,70,1.4,3350,123
2021-08-02 05:00:00+00:00,94655,Mon,Aug,8971,7,1,1,1,1,1,29,20.5,70,1.4,3350,123
2021-08-02 06:00:00+00:00,94660,Mon,Aug,11482,3,1,1,1,1,1,30,20.5,70,1.4,3350,123
2021-08-02 07:00:00+00:00,94665,Mon,Aug,11376,3,1,1,1,1,1,31,20.5,70,1.4,3350,123
2021-08-02 08:00:00+00:00,94670,Mon,Aug,10660,4,1,1,1,1,1,32,20.5,70,1.4,3350,123
2021-08-02 09:00:00+00:00,94675,Mon,Aug,11783,2,1,1,1,1,1,33,20.5,70,1.4,3350,123
2021-08-02 10:00:00+00:00,94680,Mon,Aug,12621,2,1,1,1,1,1,34,20.5,70,1.4,3350,123
2021-08-02 11:00:00+00:00,94685,Mon,Aug,11586,2,1,1,1,1,1,35,20.5,70,1.4,3350,123
2021-08-02 12:00:00+00:00,94690,Mon,Aug,10683,2,1,1,1,1,1,36,20.5,70,1.4,3350,123
2021-08-02 13:00:00+00:00,94695,Mon,Aug,11734,2,1,1,1,1,1,37,20.5,70,1.4,3350,123
2021-08-02 14:00:00+00:00,94700,Mon,Aug,13063,0,1,1,1,1,1,38,20.5,70,1.4,3350,123
2021-08-02 15:00:00+00:00,94705,Mon,Aug,13984,0,1,1,1,1,1,39,20.5,70,1.4,3350,123
2021-08-02 16:00:00+00:00,94710,Mon,Aug,13757,7,1,1,1,1,1,40,20.5,70,1.4,3350,123
2021-08-02 17:00:00+00:00,94715,Mon,Aug,13369,9,1,1,1,1,1,41,20.5,70,1.4,3350,123
2021-08-02 18:00:00+00:00,94720,Mon,Aug,11013,11,1,1,1,1,1,42,20.5,70,1.4,3350,123
2021-08-02 19:00:00+00:00,94725,Mon,Aug,11658,5,1,1,1,1,1,43,20.5,70,1.4,3350,123
2021-08-02 20:00:00+00:00,94730,Mon,Aug,11897,4,1,1,1,1,1,44,20.5,70,1.4,3350,123
2021-08-02 21:00:00+00:00,94735,Mon,Aug,10910,2,1,1,1,1,1,45,20.5,70,1.4,3350,123
2021-08-02 22:00:00+00:00,94740,Mon,Aug,7319,2,1,1,1,1,1,46,20.5,70,1.4,3350,123
2021-08-02 23:00:00+00:00,94745,Mon,Aug,4217,0,1,1,1,1,1,47,20.5,70,1.4,3350,123
2021-08-03 00:00:00+00:00,186795,Tue,Aug,1510,0,2,2,2,2,2,48,18.1,69,1.9,3376,125
2021-08-03 01:00:00+00:00,93405,Tue,Aug,1042,0,1,1,1,1,1,49,18.1,69,1.9,3376,125
2021-08-03 02:00:00+00:00,93410,Tue,Aug,1008,0,1,1,1,1,1,50,18.1,69,1.9,3376,125
2021-08-03 03:00:00+00:00,93415,Tue,Aug,2473,1,1,1,1,1,1,51,18.1,69,1.9,3376,125
2021-08-03 04:00:00+00:00,93420,Tue,Aug,3946,2,1,1,1,1,1,52,18.1,69,1.9,3376,125
2021-08-03 05:00:00+00:00,93425,Tue,Aug,8234,3,1,1,1,1,1,53,18.1,69,1.9,3376,125
2021-08-03 06:00:00+00:00,93430,Tue,Aug,11517,10,1,1,1,1,1,54,18.1,69,1.9,3376,125
2021-08-03 07:00:00+00:00,93435,Tue,Aug,10016,9,1,1,1,1,1,55,18.1,69,1.9,3376,125
2021-08-03 08:00:00+00:00,93440,Tue,Aug,9358,8,1,1,1,1,1,56,18.1,69,1.9,3376,125
2021-08-03 09:00:00+00:00,93445,Tue,Aug,10977,0,1,1,1,1,1,57,18.1,69,1.9,3376,125
2021-08-03 10:00:00+00:00,93450,Tue,Aug,11286,4,1,1,1,1,1,58,18.1,69,1.9,3376,125
2021-08-03 11:00:00+00:00,93455,Tue,Aug,10444,4,1,1,1,1,1,59,18.1,69,1.9,3376,125
2021-08-03 12:00:00+00:00,93460,Tue,Aug,10773,6,1,1,1,1,1,60,18.1,69,1.9,3376,125
2021-08-03 13:00:00+00:00,93465,Tue,Aug,11278,6,1,1,1,1,1,61,18.1,69,1.9,3376,125
2021-08-03 14:00:00+00:00,93470,Tue,Aug,12298,3,1,1,1,1,1,62,18.1,69,1.9,3376,125
2021-08-03 15:00:00+00:00,93475,Tue,Aug,14483,11,1,1,1,1,1,63,18.1,69,1.9,3376,125
2021-08-03 16:00:00+00:00,93480,Tue,Aug,15587,14,1,1,1,1,1,64,18.1,69,1.9,3376,125
2021-08-03 17:00:00+00:00,93485,Tue,Aug,14945,13,1,1,1,1,1,65,18.1,69,1.9,3376,125
2021-08-03 18:00:00+00:00,93490,Tue,Aug,12123,13,1,1,1,1,1,66,18.1,69,1.9,3376,125
2021-08-03 19:00:00+00:00,93495,Tue,Aug,11139,4,1,1,1,1,1,67,18.1,69,1.9,3376,125
2021-08-03 20:00:00+00:00,93500,Tue,Aug,10908,0,1,1,1,1,1,68,18.1,69,1.9,3376,125
2021-08-03 21:00:00+00:00,93505,Tue,Aug,9949,0,1,1,1,1,1,69,18.1,69,1.9,3376,125
2021-08-03 22:00:00+00:00,93510,Tue,Aug,7548,0,1,1,1,1,1,70,18.1,69,1.9,3376,125
2021-08-03 23:00:00+00:00,93515,Tue,Aug,3473,0,1,1,1,1,1,71,18.1,69,1.9,3376,125
2021-08-04 00:00:00+00:00,187045,Wed,Aug,1750,0,2,2,2,2,2,72,12.5,86,1.2,3393,131
2021-08-04 01:00:00+00:00,94030,Wed,Aug,1229,0,1,1,1,1,1,73,12.5,86,1.2,3393,131
2021-08-04 02:00:00+00:00,94035,Wed,Aug,925,0,1,1,1,1,1,74,12.5,86,1.2,3393,131
2021-08-04 03:00:00+00:00,94040,Wed,Aug,1822,0,1,1,1,1,1,75,12.5,86,1.2,3393,131
2021-08-04 04:00:00+00:00,94045,Wed,Aug,3964,5,1,1,1,1,1,76,12.5,86,1.2,3393,131
2021-08-04 05:00:00+00:00,94050,Wed,Aug,7407,9,1,1,1,1,1,77,12.5,86,1.2,3393,131
2021-08-04 06:00:00+00:00,94055,Wed,Aug,11555,9,1,1,1,1,1,78,12.5,86,1.2,3393,131
2021-08-04 07:00:00+00:00,94060,Wed,Aug,10756,6,1,1,1,1,1,79,12.5,86,1.2,3393,131
2021-08-04 08:00:00+00:00,94065,Wed,Aug,9346,3,1,1,1,1,1,80,12.5,86,1.2,3393,131
2021-08-04 09:00:00+00:00,94070,Wed,Aug,10290,1,1,1,1,1,1,81,12.5,86,1.2,3393,131
2021-08-04 10:00:00+00:00,94075,Wed,Aug,11115,1,1,1,1,1,1,82,12.5,86,1.2,3393,131
2021-08-04 11:00:00+00:00,94080,Wed,Aug,11672,0,1,1,1,1,1,83,12.5,86,1.2,3393,131
2021-08-04 12:00:00+00:00,94085,Wed,Aug,11531,0,1,1,1,1,1,84,12.5,86,1.2,3393,131
2021-08-04 13:00:00+00:00,94090,Wed,Aug,12211,0,1,1,1,1,1,85,12.5,86,1.2,3393,131
2021-08-04 14:00:00+00:00,94095,Wed,Aug,12103,0,1,1,1,1,1,86,12.5,86,1.2,3393,131
2021-08-04 15:00:00+00:00,94100,Wed,Aug,14027,0,1,1,1,1,1,87,12.5,86,1.2,3393,131
2021-08-04 16:00:00+00:00,94105,Wed,Aug,14028,0,1,1,1,1,1,88,12.5,86,1.2,3393,131
2021-08-04 17:00:00+00:00,94110,Wed,Aug,12618,0,1,1,1,1,1,89,12.5,86,1.2,3393,131
2021-08-04 18:00:00+00:00,94115,Wed,Aug,11906,0,1,1,1,1,1,90,12.5,86,1.2,3393,131
2021-08-04 19:00:00+00:00,94120,Wed,Aug,11173,0,1,1,1,1,1,91,12.5,86,1.2,3393,131
2021-08-04 20:00:00+00:00,94125,Wed,Aug,11021,0,1,1,1,1,1,92,12.5,86,1.2,3393,131
2021-08-04 21:00:00+00:00,94130,Wed,Aug,11079,0,1,1,1,1,1,93,12.5,86,1.2,3393,131
2021-08-04 22:00:00+00:00,94135,Wed,Aug,7447,0,1,1,1,1,1,94,12.5,86,1.2,3393,131
2021-08-04 23:00:00+00:00,94140,Wed,Aug,4115,0,1,1,1,1,1,95,12.5,86,1.2,3393,131
2021-08-05 00:00:00+00:00,185505,Thu,Aug,1782,0,2,2,2,2,2,96,16.5,91,1.8,3396,135
2021-08-05 01:00:00+00:00,92760,Thu,Aug,1088,0,1,1,1,1,1,97,16.5,91,1.8,3396,135
2021-08-05 02:00:00+00:00,92765,Thu,Aug,1046,1,1,1,1,1,1,98,16.5,91,1.8,3396,135
2021-08-05 03:00:00+00:00,92770,Thu,Aug,2092,2,1,1,1,1,1,99,16.5,91,1.8,3396,135
2021-08-05 04:00:00+00:00,92775,Thu,Aug,3925,2,1,1,1,1,1,100,16.5,91,1.8,3396,135
2021-08-05 05:00:00+00:00,92780,Thu,Aug,6530,1,1,1,1,1,1,101,16.5,91,1.8,3396,135
2021-08-05 06:00:00+00:00,92785,Thu,Aug,11215,8,1,1,1,1,1,102,16.5,91,1.8,3396,135
